X1,FILE_ID,ROMANIZED_TITLE,AUTHOR_LAST,AUTHOR_FIRST,DATE,GENRE,NARRATOR,IK_ENT,thought,textlength,pronouns,YulesK,YulesI,GuiraudC,ttr_mean,ttr_sd,ttr_norm,ttr_cumsum,ent_mean,ent_sd,ent_norm,ent_cumsum,nonpara_ent,period,punct,stopword
0,R_dig_001,Muyangaihua,Guo ,Moruo,1918,ROMANTIC,1,8.126770916,0.002836305,4936,0.032820097,58.91250902,169.7432373,0.250257113,0.521709293,0.033753063,0.034438071,0.34,5.729050333,0.121000469,0.317441276,0.332,8.126770916,0.043715847,0.198907104,0.378415301
1,R_dig_002,Hanguguan,Guo ,Moruo,1923,ROMANTIC,0,6.279777526,0.006293706,4290,0.047785548,131.4251513,76.08893655,0.250090942,0.463633465,0.045813459,0.015591844,0.664,5.34912357,0.148537619,0.134927438,0.318,6.279777526,0.033759124,0.163017032,0.479927007
2,R_dig_003,Lobenicht deta,Guo ,Moruo,1924,ROMANTIC,0,6.279777526,0.006545197,5653,0.038563595,145.7932835,68.59026534,0.25,0.483864835,0.019348028,0.011991355,0.572,5.292173083,0.088103105,0.017189852,0.25,6.279777526,0.032388664,0.237913789,0.425101215
3,R_dig_004,Shuzai,Guo ,Moruo,1920,ROMANTIC,0,5.48234546,0.006292135,2225,0.048089888,168.4141427,59.37743613,0.25018615,0.390983001,NA,0.033163341,1,5.371167157,NA,0.094174031,1,5.48234546,0.028340081,0.217466744,0.45112782
4,R_dig_005,Canchun,Guo ,Moruo,1922,ROMANTIC,1,6.907755279,0.005144869,7386,0.051313295,93.41822926,107.0454887,0.250833148,0.475680463,0.036661497,0.014604869,0.408,5.435047863,0.122802466,0.128370162,0.342,6.907755279,0.037083259,0.194152255,0.454983063
5,R_dig_006,Weiyang,Guo ,Moruo,1922,ROMANTIC,0,6.977530585,0.0052961,2077,0.028887819,87.22523395,114.6457229,0.250592885,0.467245462,NA,0.044689818,1,5.749891139,NA,0.331866536,1,6.977530585,0.036175711,0.181524548,0.410852713
6,R_dig_007,Yueshi,Guo ,Moruo,1923,ROMANTIC,1,6.455846055,0.007236545,6633,0.039800995,98.08599343,101.9513556,0.25081761,0.453939695,0.02959965,0.006386106,0.688,5.466658365,0.105718081,0.122089108,0.474,6.455846055,0.03666194,0.192221997,0.473364391
7,R_dig_008,Shengzhe,Guo ,Moruo,1924,ROMANTIC,0,6.516750263,0.006777108,3984,0.025853414,93.81059929,106.5977627,0.250530335,0.43726382,0.025690147,0.016273546,1,5.573871427,0.113021487,0.201426818,0.49,6.516750263,0.036084196,0.209488807,0.441363181
8,R_dig_009,Qilu,Guo ,Moruo,1924,ROMANTIC,0,6.772309097,0.004021448,7460,0.042493298,118.5943432,84.32105383,0.250569736,0.490051612,0.018435392,0.01492754,0.226,5.417042769,0.077224107,0.066203956,0.084,6.772309097,0.033910534,0.20544733,0.446608947
9,R_dig_010,Lianyu,Guo ,Moruo,1924,ROMANTIC,0,7.939948597,0.006037859,6128,0.031984334,95.06462112,105.1916042,0.250601122,0.503536166,0.032885222,0.021607672,0.33,5.555089308,0.120223424,0.216836919,0.176,7.939948597,0.035276074,0.177256792,0.453549518
10,R_dig_011,Shizijia,Guo ,Moruo,1924,ROMANTIC,1,5.904064341,0.007111111,7875,0.042539683,111.7636987,89.47449049,0.250256726,0.441198458,0.034370315,-0.001219633,0.834,5.373577192,0.103232101,0.104226941,0.986,5.904064341,0.032873446,0.1641969,0.500936808
11,R_dig_012,Sanshirenzhisi,Guo ,Moruo,1924,ROMANTIC,1,6.223202954,0.003574164,3917,0.028338014,113.9560697,87.75311424,0.251055743,0.430066623,0.004193741,0.017481718,0.502,5.506854146,0.042991686,0.175108223,1,6.223202954,0.041316527,0.165616246,0.467086835
12,R_dig_013,Yangchunbie,Guo ,Moruo,1924,ROMANTIC,0,7.348675829,0.007268554,2614,0.026778883,102.3274074,97.7255288,0.25119781,0.410884354,NA,0.03735102,1,5.674150524,NA,0.229861668,1,7.348675829,0.04357067,0.218916047,0.419234857
13,R_dig_014,Ke'ermeiluoguniang,Guo ,Moruo,1924,ROMANTIC,1,7.427693848,0.006742845,19428,0.070362364,155.759741,64.20144213,0.250695695,0.443942136,0.025334631,-0.011775562,0.374,5.193527682,0.11363704,0.022700992,0.572,7.427693848,0.033099636,0.172576513,0.504718889
14,R_dig_015,Reliyishang,Guo ,Moruo,1924,ROMANTIC,1,5.854029897,0.004038772,3714,0.048196015,121.321567,82.42557564,0.250337686,0.412341524,0.001125573,0.025048525,0.49,5.396137953,0.00151764,0.139594253,1,5.854029897,0.039166367,0.197987783,0.487243981
15,R_dig_016,Wanyin,Guo ,Moruo,1924,ROMANTIC,0,5.570770386,0.007485227,7615,0.048850952,140.0427907,71.40674613,0.250381513,0.443941731,0.032924717,-0.000117226,0.946,5.284519304,0.098690899,0.055247687,0.864,5.570770386,0.03090847,0.213968579,0.466530055
16,R_dig_017,Yeluotizhimu,Guo ,Moruo,1924,ROMANTIC,0,5.526204223,0.006259027,2077,0.040442947,137.7572776,72.59144617,0.25145955,0.417774086,NA,0.059330565,1,5.370389996,NA,0.277160752,1,5.526204223,0.044174136,0.229193342,0.466069142
17,R_dig_018,Tingzijianzhong,Guo ,Moruo,1925,ROMANTIC,0,6.642072384,0.006394641,3284,0.026492083,126.9825358,78.75098679,0.25,0.465316653,0.010605019,0.028984615,0.492,5.437147653,0.009930392,0.080610766,0.486,6.642072384,0.035887097,0.226209677,0.4375
18,R_dig_019,Huxinting,Guo ,Moruo,1925,ROMANTIC,1,6.455846055,0.005989063,11521,0.033070046,107.7401391,92.81591878,0.250106007,0.452373591,0.033997349,-0.019395023,0.236,5.359193499,0.109283722,0.067087433,0.374,6.455846055,0.029262087,0.178926671,0.482997918
19,R_dig_020,Luoye,Guo ,Moruo,1925,ROMANTIC,1,6.706558523,0.01166889,50219,0.045082538,161.6594103,61.8584466,0.250284558,0.395859923,0.033178333,-0.015209683,0.03,5.050876853,0.106368443,0.045942314,0.026,6.706558523,0.035175474,0.146107301,0.552238806
20,R_dig_021,Xinglunan,Guo ,Moruo,1925,ROMANTIC,0,6.839361662,0.005412899,30298,0.030034986,94.7550173,105.5353087,0.250124979,0.477465561,0.05367902,-0.012071432,0.248,5.385060341,0.173989945,0.064266667,0.652,6.839361662,0.038366227,0.199353925,0.457739623
