TITLE,Author_Last,Author_First,average_score,PUBL_DATE
The Statue of Mademoiselle Mako,Nagamatsu,Sadamu,9.61E-09,1932
Ulysses_Ito_3,Joyce,James,3.63E-05,1930
Hari to garasu to kiri,Kawabata,Yasunari,3.71E-04,1930
M Department Store,Sei,Ito,7.16E-04,1932
La Femme de Trente Ans,Nagamatsu,Sadamu,1.73E-03,1931
The Discovery at the Cafe Bunoa,Sei,Ito,2.20E-03,1931
To the Lighthouse,Woolf,Virginia,2.60E-03,1931
Ulysses_Morita_3,Joyce,James,3.13E-03,
Seikazoku,Hori,Tatsuo,1.58E-02,1930
Kiko no zettaisei,Sei,Ito,1.85E-02,1930
Tsubomi no naka no kiriko,Sei,Ito,1.89E-02,1930
Machine,Yokomitsu,Riichi,1.91E-02,1930
Muchi,Yokomitsu,Riichi,2.02E-02,1931
Utsukushii Mura,Hori,Tatsuo,2.69E-02,1933
Parrot (Oumu),Sei,Ito,2.69E-02,
Suisho Genso,Kawabata,Yasunari,5.16E-02,1931
Haguruma,Akutagawa,Ryunosuke,5.22E-02,1927
In Search of Lost Time,Proust,Marcel,9.96E-02,
Tori,Yokomitsu,Riichi,1.38E-01,1930
Shanghai,Yokomitsu,Riichi,1.53E-01,1931
Habiron no yoru,Morand,Paul,1.70E-01,1929
Fuyu no hae,Kajii,Motojiro,1.96E-01,1928
Remon,Kajii,Motojiro,2.42E-01,1925
Nemurarenu yoru,Kobayashi,Hideo,2.74E-01,1930
Yuki no machi,Sei,Ito,4.53E-01,1937
Fuyu no hi,Kajii,Motojiro,4.73E-01,1927
