,average_score,PUBL_DATE
Heibon,0.93431907,1907
Futon,0.974772945,1907
Sekenshi,0.939023491,1908
Haru,0.956251702,1908
Sei,0.990818259,1908
Tandeki,0.949061019,1909
Vita sexualis,0.764381821,1909
Wakaretaru tsuma ni okuru tegami,0.820815669,1910
Omedetaki hito,0.634250685,1910
Doroningyo,0.989637268,1911
Giwaku,0.846270179,1913
Onjin,0.779614285,1914
Michikusa,0.976835722,1915
Tsuma wo kau keiken,0.993125142,1917
Wakai,0.913235635,1917
Sei araba,0.876632397,1917
Yo no naka he,0.907326827,1918
Jukensei no shuki,0.930888738,1918
Shinsei,0.923301485,1919
Sei ni mezameru koro,0.725187216,1920
Hitogokoro,0.738590043,1920
Shii no wakaba,0.855520605,1924
Chichi wo uru ko,0.834439882,1924
Nobuko,0.949311933,1924
Suikyosha no dokuhaku,0.750434686,1927
Suika kuu hito,0.713564463,1927
Ippon no hana,0.996191305,1927
Shiju yonichi,0.988269533,1920
Yamanote no ko,0.973488915,1911
Gouku,0.999238215,1928
