"","average_score","PUBL_DATE"
"Aru aho no issho",0.666109677795108,1927
"Kare ha mukashi no kare narazu",0.646206241135878,1934
"Yaneura no sanposha",0.757337173921942,1925
"Satsujinki",0.875743606115404,1931
"Akuma no deshi",0.668036639336779,1929
"Umi ni ikiru hitobito",0.551934032571161,1926
"Heima to uguisu",0.892767325803194,1927
"Shinban horoki",0.885134442111997,1928
"Fukin to sakana no machi",0.935730350554425,1931
"Himitsu",0.663520670955043,1926
"Chiryoshitsu nite",0.996051969675601,1927
"Mato",0.913024660627387,1937
"Yuki no yadori",0.998263296670376,1946
"Tou seikatsusha",0.579394207035612,1932
"Kohaku no paipu",0.830818561659044,1924
"Ai no tame ni",0.805902781569611,1926
"Renai kyokusen",0.750067644202563,1926
"Shinpi konchukan",0.832614292827884,1927
"Shokko to bisho",0.712710355360186,1928
"Gusuko budori no denki",0.839886621646332,1932
"Akuma no kao",0.972797710340185,1930
"Kokushikan satsujin jiken",0.918216542931408,1934
"Fukami fujin no shi",0.722859919078333,1930
"Tetsu no shojo",0.792522572950009,1935
"Botan no aru ie",0.952091700642801,1934
"Arashi",0.886640669872611,1927
"Bomoku monogatari",0.988168410870402,1931
"Fushuu",0.889028691092732,1934
"Inaka, no, jiken",0.934532410706147,1927
"Dark Minister",0.884190522348024,1933
