"","average_score","PUBL_DATE"
"Wasureenu hitobito",0.880277216545054,1898
"Juemon no saigo",0.979682387695211,1902
"Nogiku no hana",0.986662883503607,1906
"Hakai",0.978326832429789,1906
"Sumidagawa",0.998038118287141,1909
"Sorekara",0.980716643358949,1909
"Inaka kyoshi",0.966250136152583,1909
"Bikou",0.99495570540388,1910
"Seinen",0.711826384798279,1910
"Aru onna",0.926458218594904,1911
"Gan",0.916995978288409,1911
"Shonen",0.996812219748136,1911
"Kabi",0.937493407853255,1911
"Keikaku",0.930928788884218,1912
"Tsuchi",0.94546226552915,1912
"Gin no sashi",0.975363153310769,1913
"Hamo no kawa",0.985215834397994,1914
"Kokoro",0.830443604541229,1914
"Sanjusan no shi",0.724405933819053,1914
"Arakure",0.96914050658264,1915
"Ensho",0.965384800030189,1916
"Mazushiki hitobito no mure",0.831195337777644,1916
"Jigokuhen",0.966323109612843,1918
"Tenki",0.751048947901501,1918
"Aru shojo no shi made",0.909434969872753,1919
"Chijo",0.916249659695412,1919
"Shinju fujin",0.726564322843765,1920
"Kozo no kamisama",0.94333661231561,1920
"Kuchu seifuku",0.906279738726074,1922
"Chijin no ai",0.516266602599296,1924
